id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
SLC48A1	SLC48A1	3.43663E-06	-0.319166482249506	0.081	0.101	0.0590412652273733	In1	SLC48A1
SLC4A4	SLC4A4	3.84104E-06	-0.271071912642696	0.195	0.15	0.0659890450454199	In1	SLC4A4
ZZZ3	ZZZ3	3.96260E-06	-0.260187367900275	0.44	0.32	0.0680773888637339	In1	ZZZ3
TSC22D2	TSC22D2	4.65545E-06	-0.3564946970442	0.394	0.289	0.0799805685794862	In1	TSC22D2
C9orf85	C9orf85	4.98388E-06	-0.379206895978095	0.15	0.164	0.085623063085822	In1	C9orf85
MGAT5	MGAT5	5.36541E-06	-0.29793022114809	0.422	0.313	0.0921777977141547	In1	MGAT5
VAPA	VAPA	5.99082E-06	-0.267939848195312	0.357	0.263	0.102922211227764	In1	VAPA
ATG10	ATG10	9.26589E-06	-0.255971857681458	0.288	0.218	0.159187988037454	In1	ATG10
ACTG1	ACTG1	9.90985E-06	-0.276571224774916	0.31	0.234	0.170251240210749	In1	ACTG1
ETNK1	ETNK1	1.04791E-05	-0.266574671378093	0.374	0.277	0.180030889399829	In1	ETNK1
MAP3K5	MAP3K5	1.15207E-05	-0.292220018889299	0.344	0.259	0.197926329023695	In1	MAP3K5
POGZ	POGZ	1.53935E-05	-0.38372040892544	0.527	0.442	0.264460193144931	In1	POGZ
KCTD8	KCTD8	1.60432E-05	-0.378632625251308	0.4	0.366	0.275622896087217	In1	KCTD8
CPEB2	CPEB2	1.97812E-05	-0.252087019165674	0.385	0.287	0.33984152457843	In1	CPEB2
CPPED1	CPPED1	2.00623E-05	-0.3286462363397	0.108	0.125	0.344671163869341	In1	CPPED1
GPCPD1	GPCPD1	2.24897E-05	-0.266632170414495	0.169	0.129	0.386372299809441	In1	GPCPD1
TRPC4AP	TRPC4AP	2.88660E-05	-0.279253398361311	0.391	0.29	0.49591855691916	In1	TRPC4AP
SUMF1	SUMF1	3.07454E-05	-0.255761125562063	0.513	0.377	0.528206568610712	In1	SUMF1
TCP11L2	TCP11L2	3.53556E-05	-0.29753746866799	0.086	0.103	0.60740868397623	In1	TCP11L2
CTSB	CTSB	3.76091E-05	-0.273794494287907	0.13	0.099	0.646123990658074	In1	CTSB
LANCL1	LANCL1	4.49061E-05	-0.274710967689604	0.452	0.336	0.771486209225934	In1	LANCL1
UBE2R2	UBE2R2	4.95389E-05	-0.271464546912368	0.387	0.29	0.851078480922089	In1	UBE2R2
RP11-437B10.1	RP11-437B10.1	5.80903E-05	-0.251098298296295	0.234	0.179	0.997991760175802	In1	RP11-437B10.1
CTNNA1	CTNNA1	6.15531E-05	-0.408832742150435	0.243	0.238	1	In1	CTNNA1
ATP8B4	ATP8B4	6.70486E-05	-0.30878601584908	0.183	0.143	1	In1	ATP8B4
UBB	UBB	7.51758E-05	-0.261281390899942	0.252	0.193	1	In1	UBB
ATP11A	ATP11A	8.43493E-05	-0.258048165170647	0.296	0.226	1	In1	ATP11A
STK4	STK4	9.16691E-05	-0.256816897627856	0.161	0.125	1	In1	STK4
TLE1	TLE1	1.01607E-04	-0.362199059494797	0.115	0.131	1	In1	TLE1
FOXP1	FOXP1	1.06042E-04	-0.356134264154061	0.576	0.465	1	In1	FOXP1
SOX2	SOX2	1.09211E-04	-0.317597764519909	0.098	0.113	1	In1	SOX2
DOCK9	DOCK9	1.14926E-04	-0.389847019002049	0.601	0.479	1	In1	DOCK9
ACYP2	ACYP2	1.22511E-04	-0.369713493540796	0.58	0.474	1	In1	ACYP2
CADPS2	CADPS2	1.37094E-04	-0.325602881826395	0.251	0.249	1	In1	CADPS2
RNF130	RNF130	1.38341E-04	-0.330831044225214	0.662	0.531	1	In1	RNF130
SLTM	SLTM	1.52711E-04	-0.267613345783961	0.27	0.209	1	In1	SLTM
CTBP2	CTBP2	1.90769E-04	-0.382799858836419	0.279	0.268	1	In1	CTBP2
MTERF1	MTERF1	1.91680E-04	-0.254013522981874	0.336	0.259	1	In1	MTERF1
HNRNPA2B1	HNRNPA2B1	2.59186E-04	-0.273970391199213	0.419	0.314	1	In1	HNRNPA2B1
YPEL2	YPEL2	2.66379E-04	-0.297676193824249	0.278	0.214	1	In1	YPEL2
RGS5	RGS5	3.21536E-04	-0.279460512599745	0.088	0.102	1	In1	RGS5
SORCS2	SORCS2	3.27223E-04	-0.344548262026102	0.175	0.183	1	In1	SORCS2
CYP7B1	CYP7B1	3.27239E-04	-0.391496553028778	0.219	0.219	1	In1	CYP7B1
