id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
TNR	TNR	0.00000E+00	2.01522410023608	0.986	0.32	0	OPC2	TNR
LHFPL3	LHFPL3	0.00000E+00	1.95489779989147	0.89	0.18	0	OPC2	LHFPL3
DSCAM	DSCAM	0.00000E+00	1.94472015240201	0.998	0.512	0	OPC2	DSCAM
PDZD2	PDZD2	0.00000E+00	1.94002274405149	0.938	0.317	0	OPC2	PDZD2
MEGF11	MEGF11	0.00000E+00	1.92002678817683	0.822	0.144	0	OPC2	MEGF11
SLC35F1	SLC35F1	0.00000E+00	1.87625573644556	0.928	0.305	0	OPC2	SLC35F1
XYLT1	XYLT1	0.00000E+00	1.79902205777862	0.915	0.299	0	OPC2	XYLT1
VCAN	VCAN	0.00000E+00	1.68821700423612	0.755	0.181	0	OPC2	VCAN
SEZ6L	SEZ6L	0.00000E+00	1.66620536380122	0.761	0.249	0	OPC2	SEZ6L
CRISPLD2	CRISPLD2	0.00000E+00	1.6021126502526	0.457	0.051	0	OPC2	CRISPLD2
LRRC4C	LRRC4C	0.00000E+00	1.58758382732826	0.984	0.627	0	OPC2	LRRC4C
KIF26B	KIF26B	0.00000E+00	1.55503674231652	0.614	0.154	0	OPC2	KIF26B
DGKG	DGKG	0.00000E+00	1.5220547821227	0.896	0.318	0	OPC2	DGKG
LUZP2	LUZP2	0.00000E+00	1.48267350944215	0.797	0.297	0	OPC2	LUZP2
NRCAM	NRCAM	0.00000E+00	1.45861698934183	0.918	0.458	0	OPC2	NRCAM
CA10	CA10	0.00000E+00	1.45213368692545	0.635	0.17	0	OPC2	CA10
GSG1L	GSG1L	0.00000E+00	1.43603577954844	0.464	0.095	0	OPC2	GSG1L
PTPRZ1	PTPRZ1	0.00000E+00	1.43116578067846	0.79	0.276	0	OPC2	PTPRZ1
SMOC1	SMOC1	0.00000E+00	1.36890593215163	0.734	0.242	0	OPC2	SMOC1
TMEM132C	TMEM132C	2.56765E-298	1.36629045729348	0.63	0.185	4.41122929900034e-294	OPC2	TMEM132C
MMD2	MMD2	2.47420E-293	1.44418947226559	0.538	0.139	4.25068132597548e-289	OPC2	MMD2
FOXN3	FOXN3	3.28621E-06	-0.357021389551661	0.318	0.41	0.056457097750504	OPC2	FOXN3
STK33	STK33	3.97834E-06	0.331509237339525	0.133	0.092	0.0683478882777656	OPC2	STK33
KAT2A	KAT2A	5.47260E-06	0.250918061575145	0.139	0.098	0.0940192747382965	OPC2	KAT2A
RANBP17	RANBP17	5.51370E-06	0.324365516788733	0.212	0.166	0.0947253199494711	OPC2	RANBP17
ACSL3	ACSL3	5.51395E-06	0.335114438662056	0.311	0.275	0.0947296817727537	OPC2	ACSL3
LMNA	LMNA	5.65085E-06	0.332209276497098	0.127	0.087	0.0970816415624425	OPC2	LMNA
TLN2	TLN2	6.58475E-06	0.32627420044943	0.357	0.324	0.113126089756888	OPC2	TLN2
HYDIN	HYDIN	6.96929E-06	0.354542209081967	0.284	0.25	0.119732448200888	OPC2	HYDIN
SLC2A13	SLC2A13	7.46729E-06	0.373027559023845	0.276	0.236	0.128288012613716	OPC2	SLC2A13
ABCG1	ABCG1	7.59474E-06	0.268530004624363	0.206	0.158	0.13047768380086	OPC2	ABCG1
CRB1	CRB1	1.05128E-05	0.301897894071949	0.237	0.194	0.18061015055861	OPC2	CRB1
GRAMD1B	GRAMD1B	1.53042E-05	0.354815413038511	0.279	0.242	0.262926571395725	OPC2	GRAMD1B
ZNF714	ZNF714	2.06807E-05	0.325320493348094	0.104	0.07	0.355294180735413	OPC2	ZNF714
TANC1	TANC1	2.12828E-05	0.307078198039016	0.297	0.262	0.365638716196061	OPC2	TANC1
THSD7A	THSD7A	2.31194E-05	0.311165281248574	0.269	0.229	0.397191517200284	OPC2	THSD7A
PHLDB1	PHLDB1	2.68487E-05	-0.264615294500131	0.25	0.326	0.461260686109293	OPC2	PHLDB1
NRXN2	NRXN2	3.97452E-05	0.390155594671102	0.146	0.111	0.682821904826675	OPC2	NRXN2
DHRS7B	DHRS7B	4.74103E-05	0.292040610827284	0.11	0.076	0.814508301952767	OPC2	DHRS7B
DNAJB2	DNAJB2	4.96209E-05	-0.333176764925415	0.121	0.175	0.852487870395001	OPC2	DNAJB2
ZSWIM5	ZSWIM5	5.09021E-05	0.383547444962705	0.236	0.202	0.874497795279149	OPC2	ZSWIM5
AC116366.7	AC116366.7	5.14976E-05	0.369206423798283	0.203	0.166	0.884728813021432	OPC2	AC116366.7
CYFIP2	CYFIP2	5.16825E-05	0.400615666144862	0.254	0.225	0.887904521945609	OPC2	CYFIP2
