id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
LAMA2	LAMA2	0.00000E+00	0.785513483893107	0.456	0.229	0	Olig1	LAMA2
ROR1	ROR1	0.00000E+00	0.688398076838486	0.311	0.168	0	Olig1	ROR1
PIP4K2A	PIP4K2A	0.00000E+00	0.682357987655606	0.944	0.652	0	Olig1	PIP4K2A
PRUNE2	PRUNE2	0.00000E+00	0.68212159949196	0.822	0.512	0	Olig1	PRUNE2
PALM2	PALM2	0.00000E+00	0.681161369231972	0.667	0.394	0	Olig1	PALM2
CNDP1	CNDP1	0.00000E+00	0.654201041521538	0.514	0.284	0	Olig1	CNDP1
CTNNA3	CTNNA3	0.00000E+00	0.652262011579092	0.982	0.722	0	Olig1	CTNNA3
PDE1C	PDE1C	0.00000E+00	0.649879004441526	0.795	0.493	0	Olig1	PDE1C
CLMN	CLMN	0.00000E+00	0.635689687376534	0.655	0.374	0	Olig1	CLMN
TMTC2	TMTC2	0.00000E+00	0.61016033139802	0.896	0.603	0	Olig1	TMTC2
TMEM144	TMEM144	0.00000E+00	0.609678421951289	0.867	0.557	0	Olig1	TMEM144
ARAP2	ARAP2	0.00000E+00	0.605337342312871	0.762	0.526	0	Olig1	ARAP2
ST18	ST18	0.00000E+00	0.604517652086718	0.946	0.616	0	Olig1	ST18
ENPP2	ENPP2	0.00000E+00	0.601870217782883	0.663	0.381	0	Olig1	ENPP2
OPALIN	OPALIN	0.00000E+00	0.601293320835299	0.378	0.201	0	Olig1	OPALIN
DOCK5	DOCK5	0.00000E+00	0.596698374285602	0.852	0.509	0	Olig1	DOCK5
SLC24A2	SLC24A2	0.00000E+00	0.584025253880193	0.942	0.7	0	Olig1	SLC24A2
ERBIN	ERBIN	0.00000E+00	0.574347589846397	0.833	0.6	0	Olig1	ERBIN
DIP2B	DIP2B	0.00000E+00	0.573954475175514	0.865	0.643	0	Olig1	DIP2B
FRYL	FRYL	0.00000E+00	0.573297808309028	0.853	0.605	0	Olig1	FRYL
ANK3	ANK3	0.00000E+00	0.568453713770621	0.956	0.804	0	Olig1	ANK3
HHIP	HHIP	0.00000E+00	0.567464096132057	0.487	0.301	0	Olig1	HHIP
PXK	PXK	0.00000E+00	0.565091379146452	0.653	0.407	0	Olig1	PXK
PHLPP1	PHLPP1	0.00000E+00	0.562776811080335	0.887	0.653	0	Olig1	PHLPP1
TTLL7	TTLL7	0.00000E+00	0.559698120035637	0.865	0.636	0	Olig1	TTLL7
SVEP1	SVEP1	0.00000E+00	0.553412448536142	0.341	0.22	0	Olig1	SVEP1
CHRM5	CHRM5	0.00000E+00	0.552723916824913	0.188	0.098	0	Olig1	CHRM5
UNC5C	UNC5C	0.00000E+00	0.547523130527601	0.873	0.644	0	Olig1	UNC5C
SEPT7	SEPT7	0.00000E+00	0.546711005469226	0.831	0.601	0	Olig1	SEPT7
HS3ST5	HS3ST5	0.00000E+00	0.54034564995025	0.45	0.28	0	Olig1	HS3ST5
KCNH8	KCNH8	0.00000E+00	0.533415967515622	0.629	0.387	0	Olig1	KCNH8
ADAMTS18	ADAMTS18	0.00000E+00	0.53169128859836	0.347	0.185	0	Olig1	ADAMTS18
PDE8A	PDE8A	0.00000E+00	0.531216326195838	0.729	0.517	0	Olig1	PDE8A
ANO4	ANO4	0.00000E+00	0.531195764112526	0.661	0.472	0	Olig1	ANO4
MARCH1	MARCH1	0.00000E+00	0.530871763832762	0.905	0.707	0	Olig1	MARCH1
LPGAT1	LPGAT1	0.00000E+00	0.530498655584728	0.585	0.403	0	Olig1	LPGAT1
ZNF536	ZNF536	0.00000E+00	0.527728612107007	0.764	0.495	0	Olig1	ZNF536
SLC44A1	SLC44A1	0.00000E+00	0.527456771829439	0.936	0.704	0	Olig1	SLC44A1
ABCA8	ABCA8	0.00000E+00	0.519286147122113	0.408	0.239	0	Olig1	ABCA8
C10orf90	C10orf90	0.00000E+00	0.517278608710846	0.725	0.426	0	Olig1	C10orf90
DLG1	DLG1	0.00000E+00	0.516646414992761	0.852	0.66	0	Olig1	DLG1
SLAIN1	SLAIN1	0.00000E+00	0.516047679324817	0.825	0.592	0	Olig1	SLAIN1
TRIM2	TRIM2	0.00000E+00	0.513789248498324	0.821	0.633	0	Olig1	TRIM2
PPP2R2B	PPP2R2B	0.00000E+00	0.513058537210145	0.982	0.872	0	Olig1	PPP2R2B
PLEKHH1	PLEKHH1	0.00000E+00	0.512842203087372	0.666	0.404	0	Olig1	PLEKHH1
PDE4B	PDE4B	0.00000E+00	0.51066262687671	0.963	0.831	0	Olig1	PDE4B
RP11-654K19.6	RP11-654K19.6	0.00000E+00	0.51062915182134	0.631	0.401	0	Olig1	RP11-654K19.6
MOG	MOG	0.00000E+00	0.510607880854436	0.435	0.257	0	Olig1	MOG
KANK1	KANK1	0.00000E+00	0.509486974584695	0.582	0.402	0	Olig1	KANK1
SIK3	SIK3	0.00000E+00	0.509417448660783	0.947	0.806	0	Olig1	SIK3
KLHL32	KLHL32	0.00000E+00	0.507434124217918	0.654	0.491	0	Olig1	KLHL32
CCP110	CCP110	0.00000E+00	0.506676200947118	0.379	0.249	0	Olig1	CCP110
CDK19	CDK19	0.00000E+00	0.505383114269681	0.668	0.495	0	Olig1	CDK19
LPAR1	LPAR1	0.00000E+00	0.50521598057941	0.506	0.321	0	Olig1	LPAR1
MAP7	MAP7	0.00000E+00	0.490646069558423	0.878	0.686	0	Olig1	MAP7
SLCO1A2	SLCO1A2	0.00000E+00	0.490234902869166	0.459	0.268	0	Olig1	SLCO1A2
QDPR	QDPR	0.00000E+00	0.490078719360589	0.42	0.283	0	Olig1	QDPR
PDE1A	PDE1A	0.00000E+00	0.48887064692531	0.75	0.554	0	Olig1	PDE1A
PIEZO2	PIEZO2	0.00000E+00	0.488642500005962	0.356	0.212	0	Olig1	PIEZO2
PEX5L	PEX5L	0.00000E+00	0.488169192605952	0.901	0.73	0	Olig1	PEX5L
GAB1	GAB1	0.00000E+00	0.482846981693886	0.625	0.425	0	Olig1	GAB1
ADIPOR2	ADIPOR2	0.00000E+00	0.481420483529963	0.589	0.415	0	Olig1	ADIPOR2
FUT8	FUT8	0.00000E+00	0.48116287051167	0.716	0.551	0	Olig1	FUT8
GRM3	GRM3	0.00000E+00	0.480232720348444	0.573	0.41	0	Olig1	GRM3
DNAJC6	DNAJC6	0.00000E+00	0.480178575692843	0.746	0.566	0	Olig1	DNAJC6
KIF6	KIF6	0.00000E+00	0.478033038793761	0.41	0.263	0	Olig1	KIF6
SPOCK1	SPOCK1	0.00000E+00	0.477215409861955	0.888	0.688	0	Olig1	SPOCK1
FRMD5	FRMD5	0.00000E+00	0.475936897913899	0.905	0.704	0	Olig1	FRMD5
ANLN	ANLN	0.00000E+00	0.474736368651008	0.395	0.245	0	Olig1	ANLN
VRK2	VRK2	0.00000E+00	0.474167396928026	0.405	0.258	0	Olig1	VRK2
NCKAP5	NCKAP5	0.00000E+00	0.472501489426073	0.844	0.632	0	Olig1	NCKAP5
FAM107B	FAM107B	0.00000E+00	0.472063961149372	0.614	0.392	0	Olig1	FAM107B
SPOCK3	SPOCK3	0.00000E+00	0.471794885243165	0.847	0.639	0	Olig1	SPOCK3
SHTN1	SHTN1	0.00000E+00	0.464540545493975	0.855	0.643	0	Olig1	SHTN1
UGT8	UGT8	0.00000E+00	0.464351105171974	0.406	0.259	0	Olig1	UGT8
FOLH1	FOLH1	0.00000E+00	0.458869241348923	0.358	0.218	0	Olig1	FOLH1
SH3GL3	SH3GL3	0.00000E+00	0.45855427732466	0.694	0.533	0	Olig1	SH3GL3
PCDH9	PCDH9	0.00000E+00	0.457435186657567	0.999	0.984	0	Olig1	PCDH9
CREB5	CREB5	0.00000E+00	0.456928123860525	0.732	0.482	0	Olig1	CREB5
