id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
PTPN11	PTPN11	6.09614E-03	-0.36440040484257	0.268	0.262	1	In3	PTPN11
POGZ	POGZ	6.09623E-03	-0.310389822069526	0.501	0.443	1	In3	POGZ
SPRED1	SPRED1	6.96031E-03	-0.318459521424411	0.279	0.278	1	In3	SPRED1
ARHGEF2	ARHGEF2	6.99546E-03	-0.286565971941593	0.116	0.132	1	In3	ARHGEF2
EFCAB11	EFCAB11	7.00533E-03	-0.288950603502494	0.093	0.11	1	In3	EFCAB11
GREB1L	GREB1L	7.27688E-03	-0.328499400121096	0.194	0.205	1	In3	GREB1L
CGGBP1	CGGBP1	7.54789E-03	-0.270273714939968	0.09	0.107	1	In3	CGGBP1
CUEDC1	CUEDC1	7.63020E-03	-0.309306896735638	0.147	0.16	1	In3	CUEDC1
WAPL	WAPL	8.25092E-03	-0.335280106951324	0.189	0.197	1	In3	WAPL
RNASE1	RNASE1	9.05345E-03	-0.280859187412731	0.122	0.139	1	In3	RNASE1
S100PBP	S100PBP	9.09532E-03	-0.314672991410675	0.154	0.166	1	In3	S100PBP
ZNF521	ZNF521	9.32887E-03	-0.291700901865269	0.116	0.13	1	In3	ZNF521
DTWD1	DTWD1	9.55493E-03	-0.253724833632209	0.142	0.157	1	In3	DTWD1
