id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
ATE1	ATE1	1.58623E-03	-0.25257392127476	0.288	0.292	1	Astro2	ATE1
SDK1	SDK1	1.60753E-03	-0.478836800878997	0.267	0.269	1	Astro2	SDK1
FKBP5	FKBP5	1.66336E-03	-0.340557496675373	0.551	0.535	1	Astro2	FKBP5
LRRC1	LRRC1	1.71616E-03	-0.32100434934046	0.337	0.321	1	Astro2	LRRC1
XYLT1	XYLT1	1.92772E-03	-0.511922790118354	0.303	0.303	1	Astro2	XYLT1
BBX	BBX	1.94314E-03	-0.28019904949289	0.351	0.342	1	Astro2	BBX
SNX9	SNX9	1.95848E-03	-0.255730667959233	0.255	0.265	1	Astro2	SNX9
USP15	USP15	2.11269E-03	-0.275422155080341	0.263	0.27	1	Astro2	USP15
GAB2	GAB2	2.25119E-03	-0.280690748793004	0.482	0.443	1	Astro2	GAB2
INSR	INSR	2.85030E-03	-0.274389280503895	0.28	0.285	1	Astro2	INSR
FTCDNL1	FTCDNL1	3.23260E-03	-0.263862090462935	0.164	0.177	1	Astro2	FTCDNL1
CLIP4	CLIP4	4.19658E-03	-0.262526365633833	0.271	0.275	1	Astro2	CLIP4
KAT2B	KAT2B	4.21726E-03	-0.305470276665444	0.407	0.373	1	Astro2	KAT2B
URI1	URI1	4.45689E-03	-0.258804909341569	0.218	0.227	1	Astro2	URI1
PPP4R2	PPP4R2	9.06201E-03	-0.257157291272592	0.228	0.232	1	Astro2	PPP4R2
FAXDC2	FAXDC2	9.63982E-03	-0.252188360476635	0.152	0.161	1	Astro2	FAXDC2
