id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
DPP10	DPP10	0.00000E+00	2.66867343418518	0.958	0.621	0	Astro1	DPP10
SLC14A1	SLC14A1	0.00000E+00	2.50326487971232	0.81	0.067	0	Astro1	SLC14A1
SLC1A2	SLC1A2	0.00000E+00	2.30278995353343	0.863	0.32	0	Astro1	SLC1A2
TNC	TNC	0.00000E+00	2.13597327054306	0.479	0.024	0	Astro1	TNC
GLIS3	GLIS3	0.00000E+00	2.13503449138643	0.793	0.1	0	Astro1	GLIS3
ADGRV1	ADGRV1	0.00000E+00	2.11886014742243	0.846	0.242	0	Astro1	ADGRV1
GPC5	GPC5	0.00000E+00	2.05707494672711	0.884	0.336	0	Astro1	GPC5
PITPNC1	PITPNC1	0.00000E+00	2.00130174343754	0.881	0.194	0	Astro1	PITPNC1
RFX4	RFX4	0.00000E+00	1.84978738164999	0.681	0.07	0	Astro1	RFX4
TRPM3	TRPM3	0.00000E+00	1.8206903490369	0.841	0.28	0	Astro1	TRPM3
NPL	NPL	0.00000E+00	1.7588585178378	0.687	0.08	0	Astro1	NPL
SPARCL1	SPARCL1	0.00000E+00	1.73313228308652	0.781	0.216	0	Astro1	SPARCL1
ZNRF3	ZNRF3	0.00000E+00	1.72741638127616	0.704	0.137	0	Astro1	ZNRF3
ATP1A2	ATP1A2	0.00000E+00	1.72400942299545	0.702	0.089	0	Astro1	ATP1A2
FAM189A2	FAM189A2	0.00000E+00	1.71345365049527	0.554	0.028	0	Astro1	FAM189A2
SORBS1	SORBS1	0.00000E+00	1.68430565575807	0.849	0.295	0	Astro1	SORBS1
CTNNA2	CTNNA2	0.00000E+00	1.67308706195932	0.956	0.6	0	Astro1	CTNNA2
PRKG1	PRKG1	0.00000E+00	1.64157496626566	0.881	0.362	0	Astro1	PRKG1
RP11-281A20.3	RP11-281A20.3	0.00000E+00	1.63958976119099	0.568	0.069	0	Astro1	RP11-281A20.3
DTNA	DTNA	0.00000E+00	1.62502423589936	0.935	0.52	0	Astro1	DTNA
HIF3A	HIF3A	0.00000E+00	1.62367742804672	0.685	0.089	0	Astro1	HIF3A
ADCY2	ADCY2	0.00000E+00	1.6150990769843	0.788	0.237	0	Astro1	ADCY2
ETNPPL	ETNPPL	0.00000E+00	1.59088023560172	0.567	0.052	0	Astro1	ETNPPL
ALDH1A1	ALDH1A1	0.00000E+00	1.57837349877073	0.492	0.025	0	Astro1	ALDH1A1
NKAIN3	NKAIN3	0.00000E+00	1.56566800614692	0.841	0.319	0	Astro1	NKAIN3
BMPR1B	BMPR1B	0.00000E+00	1.56557916826821	0.564	0.044	0	Astro1	BMPR1B
RANBP3L	RANBP3L	0.00000E+00	1.56127848536668	0.516	0.033	0	Astro1	RANBP3L
STON2	STON2	0.00000E+00	1.5589978894771	0.58	0.059	0	Astro1	STON2
ARHGEF4	ARHGEF4	0.00000E+00	1.5543770145097	0.69	0.157	0	Astro1	ARHGEF4
SLC4A4	SLC4A4	0.00000E+00	1.55380271672769	0.601	0.119	0	Astro1	SLC4A4
GPM6A	GPM6A	0.00000E+00	1.54391610971869	0.914	0.525	0	Astro1	GPM6A
AQP4	AQP4	0.00000E+00	1.53837261046244	0.607	0.1	0	Astro1	AQP4
RORA	RORA	0.00000E+00	1.53790797888994	0.929	0.456	0	Astro1	RORA
KCNN3	KCNN3	0.00000E+00	1.52786525301809	0.566	0.081	0	Astro1	KCNN3
MAPK4	MAPK4	0.00000E+00	1.51582124505842	0.552	0.067	0	Astro1	MAPK4
GFAP	GFAP	0.00000E+00	1.50382978532446	0.567	0.135	0	Astro1	GFAP
MGAT4C	MGAT4C	0.00000E+00	1.50111186876998	0.801	0.274	0	Astro1	MGAT4C
FMN2	FMN2	0.00000E+00	1.47290874210695	0.834	0.325	0	Astro1	FMN2
PARD3	PARD3	0.00000E+00	1.46096198351697	0.852	0.311	0	Astro1	PARD3
RYR3	RYR3	0.00000E+00	1.45869088485486	0.801	0.277	0	Astro1	RYR3
NTRK2	NTRK2	0.00000E+00	1.45409859723415	0.918	0.549	0	Astro1	NTRK2
TPD52L1	TPD52L1	0.00000E+00	1.43216558768771	0.488	0.068	0	Astro1	TPD52L1
SLC25A18	SLC25A18	0.00000E+00	1.42881423137033	0.541	0.057	0	Astro1	SLC25A18
CABLES1	CABLES1	0.00000E+00	1.42531947743776	0.445	0.092	0	Astro1	CABLES1
PAMR1	PAMR1	0.00000E+00	1.42081714114481	0.49	0.047	0	Astro1	PAMR1
ABLIM1	ABLIM1	0.00000E+00	1.40462294479778	0.669	0.16	0	Astro1	ABLIM1
GRAMD3	GRAMD3	0.00000E+00	1.38712007204754	0.684	0.175	0	Astro1	GRAMD3
GLI3	GLI3	0.00000E+00	1.38167797370596	0.448	0.03	0	Astro1	GLI3
NEBL	NEBL	0.00000E+00	1.38100326965522	0.824	0.35	0	Astro1	NEBL
WDR49	WDR49	0.00000E+00	1.36550151464645	0.42	0.022	0	Astro1	WDR49
DCLK2	DCLK2	0.00000E+00	1.36339968510758	0.711	0.271	0	Astro1	DCLK2
LRRC16A	LRRC16A	0.00000E+00	1.32804505464393	0.597	0.13	0	Astro1	LRRC16A
PDE7B	PDE7B	0.00000E+00	1.32680896209852	0.566	0.103	0	Astro1	PDE7B
MSI2	MSI2	0.00000E+00	1.31528504562902	0.815	0.35	0	Astro1	MSI2
MARCH3	MARCH3	0.00000E+00	1.31410764216298	0.495	0.091	0	Astro1	MARCH3
COL5A3	COL5A3	0.00000E+00	1.30803719459115	0.45	0.046	0	Astro1	COL5A3
ACSS1	ACSS1	0.00000E+00	1.30563821456114	0.518	0.072	0	Astro1	ACSS1
CD44	CD44	0.00000E+00	1.30088627802892	0.274	0.013	0	Astro1	CD44
IQCA1	IQCA1	0.00000E+00	1.29214649687731	0.467	0.064	0	Astro1	IQCA1
MRVI1	MRVI1	0.00000E+00	1.29128012326506	0.41	0.017	0	Astro1	MRVI1
SOX5	SOX5	0.00000E+00	1.28824738177015	0.845	0.375	0	Astro1	SOX5
ITPKB	ITPKB	0.00000E+00	1.27625263607136	0.587	0.136	0	Astro1	ITPKB
CLU	CLU	0.00000E+00	1.2722408297178	0.619	0.191	0	Astro1	CLU
GAN	GAN	0.00000E+00	1.26892062950868	0.508	0.106	0	Astro1	GAN
SHROOM3	SHROOM3	0.00000E+00	1.26097993195372	0.398	0.031	0	Astro1	SHROOM3
ADAMTS9	ADAMTS9	0.00000E+00	1.24759315903385	0.369	0.033	0	Astro1	ADAMTS9
PARD3B	PARD3B	0.00000E+00	1.24353027347155	0.723	0.235	0	Astro1	PARD3B
NFATC2	NFATC2	0.00000E+00	1.22035297375094	0.253	0.055	0	Astro1	NFATC2
MT2A	MT2A	0.00000E+00	1.21737891652482	0.396	0.087	0	Astro1	MT2A
ATP13A4	ATP13A4	0.00000E+00	1.19236232168185	0.573	0.117	0	Astro1	ATP13A4
CHPT1	CHPT1	0.00000E+00	1.19000138887976	0.535	0.131	0	Astro1	CHPT1
LHFP	LHFP	0.00000E+00	1.18325310298879	0.611	0.173	0	Astro1	LHFP
CTNND2	CTNND2	0.00000E+00	1.18116112643329	0.959	0.762	0	Astro1	CTNND2
LRIG1	LRIG1	0.00000E+00	1.17089494668088	0.533	0.135	0	Astro1	LRIG1
GPR75-ASB3	GPR75-ASB3	0.00000E+00	1.17026770155438	0.556	0.13	0	Astro1	GPR75-ASB3
CAMK2G	CAMK2G	0.00000E+00	1.16966337920231	0.5	0.101	0	Astro1	CAMK2G
ADGRA3	ADGRA3	0.00000E+00	1.1565801185556	0.449	0.058	0	Astro1	ADGRA3
ZFP36L1	ZFP36L1	0.00000E+00	1.15040953987196	0.393	0.064	0	Astro1	ZFP36L1
ACOT11	ACOT11	0.00000E+00	1.14305292201496	0.431	0.057	0	Astro1	ACOT11
MAP3K5	MAP3K5	0.00000E+00	1.13982327253905	0.667	0.233	0	Astro1	MAP3K5
PREX2	PREX2	0.00000E+00	1.13744566603945	0.651	0.255	0	Astro1	PREX2
ACACB	ACACB	0.00000E+00	1.13677842654472	0.506	0.097	0	Astro1	ACACB
TRPS1	TRPS1	0.00000E+00	1.13598605452083	0.786	0.359	0	Astro1	TRPS1
TNIK	TNIK	0.00000E+00	1.12739626886597	0.826	0.482	0	Astro1	TNIK
STK33	STK33	0.00000E+00	1.12591116493267	0.462	0.067	0	Astro1	STK33
FARP1	FARP1	0.00000E+00	1.12193973331789	0.6	0.172	0	Astro1	FARP1
HPSE2	HPSE2	0.00000E+00	1.11750685460391	0.251	0.046	0	Astro1	HPSE2
C1orf61	C1orf61	0.00000E+00	1.11612886899924	0.563	0.14	0	Astro1	C1orf61
PRODH	PRODH	0.00000E+00	1.10903368535803	0.355	0.028	0	Astro1	PRODH
ALDH1L1	ALDH1L1	0.00000E+00	1.10804177527802	0.371	0.037	0	Astro1	ALDH1L1
ASPH	ASPH	0.00000E+00	1.10684448011637	0.576	0.183	0	Astro1	ASPH
EYA1	EYA1	0.00000E+00	1.1051303092416	0.367	0.032	0	Astro1	EYA1
FGFR3	FGFR3	0.00000E+00	1.10453184759698	0.345	0.034	0	Astro1	FGFR3
GADD45G	GADD45G	0.00000E+00	1.10128805530912	0.273	0.053	0	Astro1	GADD45G
CDH20	CDH20	0.00000E+00	1.10004617867096	0.898	0.559	0	Astro1	CDH20
IFLTD1	IFLTD1	0.00000E+00	1.09951929795035	0.303	0.02	0	Astro1	IFLTD1
ACSS3	ACSS3	0.00000E+00	1.09302295053171	0.382	0.034	0	Astro1	ACSS3
AHCYL1	AHCYL1	0.00000E+00	1.08775719667171	0.597	0.186	0	Astro1	AHCYL1
CTDSPL	CTDSPL	0.00000E+00	1.08756239408401	0.549	0.163	0	Astro1	CTDSPL
SLC35F1	SLC35F1	2.15977E-03	-0.350093218669083	0.351	0.307	1	Astro1	SLC35F1
