id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
SPECC1	SPECC1	9.22437E-06	-0.406536923134704	0.526	0.539	0.158474617249577	Astro3	SPECC1
RBFOX3	RBFOX3	1.38397E-05	-0.404938982259707	0.062	0.147	0.237765510639554	Astro3	RBFOX3
TMEM64	TMEM64	2.14174E-05	-0.334139858364028	0.039	0.116	0.367950644501379	Astro3	TMEM64
RIMBP2	RIMBP2	3.76217E-05	-0.396345283736628	0.075	0.158	0.646339954241769	Astro3	RIMBP2
WASF1	WASF1	5.82648E-05	-0.406592333137587	0.124	0.211	1	Astro3	WASF1
ERBB3	ERBB3	1.07463E-04	-0.394378442503658	0.039	0.105	1	Astro3	ERBB3
DTNB	DTNB	1.10808E-04	-0.40912122412243	0.369	0.419	1	Astro3	DTNB
PIK3C2B	PIK3C2B	1.38567E-04	-0.401690070825693	0.098	0.176	1	Astro3	PIK3C2B
EPHA6	EPHA6	1.41777E-04	-0.407872681245979	0.458	0.484	1	Astro3	EPHA6
RHOBTB1	RHOBTB1	1.65677E-04	-0.380030679588655	0.049	0.116	1	Astro3	RHOBTB1
SNX30	SNX30	2.19339E-04	-0.404887295341321	0.131	0.21	1	Astro3	SNX30
KCNB2	KCNB2	2.25934E-04	-0.367283409446712	0.095	0.171	1	Astro3	KCNB2
C21orf91	C21orf91	2.26314E-04	-0.38634545420648	0.059	0.126	1	Astro3	C21orf91
ADD2	ADD2	3.01012E-04	-0.276100197332668	0.059	0.127	1	Astro3	ADD2
NYAP2	NYAP2	3.11029E-04	-0.281678234516878	0.052	0.118	1	Astro3	NYAP2
SLC38A9	SLC38A9	3.11776E-04	-0.406688723504019	0.134	0.211	1	Astro3	SLC38A9
FLNB	FLNB	3.49558E-04	-0.299025004880871	0.052	0.117	1	Astro3	FLNB
NEGR1	NEGR1	3.62117E-04	-0.325727092615879	0.752	0.678	1	Astro3	NEGR1
PRKACB	PRKACB	3.63622E-04	-0.388182306566369	0.487	0.508	1	Astro3	PRKACB
TBC1D4	TBC1D4	4.80936E-04	-0.3350005524575	0.056	0.12	1	Astro3	TBC1D4
HTR4	HTR4	6.04020E-04	-0.293229881737258	0.065	0.13	1	Astro3	HTR4
MICAL3	MICAL3	6.43502E-04	-0.364555432212874	0.284	0.351	1	Astro3	MICAL3
PTK2B	PTK2B	6.81034E-04	-0.350187212807694	0.095	0.162	1	Astro3	PTK2B
