id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
LHFPL3	LHFPL3	0.00000E+00	2.62036583449817	0.918	0.122	0	OPC1	LHFPL3
TNR	TNR	0.00000E+00	2.32823585047725	0.95	0.272	0	OPC1	TNR
XYLT1	XYLT1	0.00000E+00	2.18115899196893	0.892	0.254	0	OPC1	XYLT1
MEGF11	MEGF11	0.00000E+00	2.1728708285895	0.811	0.093	0	OPC1	MEGF11
SLC35F1	SLC35F1	0.00000E+00	2.1364800008099	0.902	0.259	0	OPC1	SLC35F1
DSCAM	DSCAM	0.00000E+00	2.09739255318244	0.983	0.475	0	OPC1	DSCAM
PDZD2	PDZD2	0.00000E+00	2.0470688792509	0.909	0.271	0	OPC1	PDZD2
VCAN	VCAN	0.00000E+00	1.8065787887787	0.773	0.135	0	OPC1	VCAN
LRRC4C	LRRC4C	0.00000E+00	1.80181821107528	0.972	0.6	0	OPC1	LRRC4C
PTPRZ1	PTPRZ1	0.00000E+00	1.67972659898708	0.815	0.234	0	OPC1	PTPRZ1
PCDH15	PCDH15	0.00000E+00	1.64429456590574	0.932	0.512	0	OPC1	PCDH15
CA10	CA10	0.00000E+00	1.64344528371887	0.709	0.128	0	OPC1	CA10
LUZP2	LUZP2	0.00000E+00	1.59651639815085	0.82	0.257	0	OPC1	LUZP2
SMOC1	SMOC1	0.00000E+00	1.56205273599051	0.777	0.201	0	OPC1	SMOC1
SOX6	SOX6	0.00000E+00	1.53690015262396	0.757	0.186	0	OPC1	SOX6
NXPH1	NXPH1	0.00000E+00	1.51704679942491	0.653	0.108	0	OPC1	NXPH1
DGKG	DGKG	0.00000E+00	1.50912861831769	0.867	0.276	0	OPC1	DGKG
KIF26B	KIF26B	0.00000E+00	1.49873097378607	0.604	0.119	0	OPC1	KIF26B
NRCAM	NRCAM	0.00000E+00	1.4752763846072	0.897	0.425	0	OPC1	NRCAM
CRISPLD2	CRISPLD2	0.00000E+00	1.43362687005156	0.437	0.021	0	OPC1	CRISPLD2
TMEM132C	TMEM132C	0.00000E+00	1.41388445010787	0.669	0.147	0	OPC1	TMEM132C
SEZ6L	SEZ6L	0.00000E+00	1.39047594596993	0.705	0.215	0	OPC1	SEZ6L
GRID2	GRID2	0.00000E+00	1.37617022925537	0.923	0.464	0	OPC1	GRID2
PID1	PID1	0.00000E+00	1.33999241144722	0.639	0.164	0	OPC1	PID1
BRINP3	BRINP3	0.00000E+00	1.31269583703826	0.61	0.131	0	OPC1	BRINP3
OPCML	OPCML	0.00000E+00	1.30732699209811	0.973	0.65	0	OPC1	OPCML
MMP16	MMP16	0.00000E+00	1.30705805273555	0.647	0.206	0	OPC1	MMP16
GRIK1	GRIK1	0.00000E+00	1.28898693191803	0.763	0.26	0	OPC1	GRIK1
EPN2	EPN2	0.00000E+00	1.26643267747386	0.809	0.364	0	OPC1	EPN2
DPP6	DPP6	0.00000E+00	1.26360213052481	0.934	0.527	0	OPC1	DPP6
KCND2	KCND2	0.00000E+00	1.26125890978405	0.862	0.469	0	OPC1	KCND2
TMEM132D	TMEM132D	0.00000E+00	1.24312084444781	0.632	0.153	0	OPC1	TMEM132D
COL11A1	COL11A1	0.00000E+00	1.22522195233219	0.445	0.059	0	OPC1	COL11A1
CHST9	CHST9	0.00000E+00	1.2244223744138	0.538	0.127	0	OPC1	CHST9
FGFR1	FGFR1	0.00000E+00	1.22005366393844	0.399	0.052	0	OPC1	FGFR1
PTPRT	PTPRT	0.00000E+00	1.21928578534897	0.607	0.116	0	OPC1	PTPRT
FGF12	FGF12	0.00000E+00	1.21386628377787	0.832	0.404	0	OPC1	FGF12
GSG1L	GSG1L	0.00000E+00	1.21131266191418	0.434	0.069	0	OPC1	GSG1L
POU6F2	POU6F2	0.00000E+00	1.19664085903406	0.399	0.036	0	OPC1	POU6F2
UST	UST	0.00000E+00	1.18473952597378	0.521	0.1	0	OPC1	UST
MMD2	MMD2	0.00000E+00	1.18350743399738	0.477	0.114	0	OPC1	MMD2
STK32A	STK32A	0.00000E+00	1.18309119255532	0.369	0.028	0	OPC1	STK32A
CHST11	CHST11	0.00000E+00	1.17601915687359	0.756	0.299	0	OPC1	CHST11
PDZRN4	PDZRN4	0.00000E+00	1.17165590209453	0.435	0.108	0	OPC1	PDZRN4
MGLL	MGLL	0.00000E+00	1.17045529209088	0.427	0.075	0	OPC1	MGLL
NTNG1	NTNG1	0.00000E+00	1.1700114362703	0.466	0.073	0	OPC1	NTNG1
ADAMTS17	ADAMTS17	0.00000E+00	1.16691747388705	0.473	0.083	0	OPC1	ADAMTS17
AMZ1	AMZ1	0.00000E+00	1.15329940635655	0.405	0.062	0	OPC1	AMZ1
LRRTM4	LRRTM4	0.00000E+00	1.14671791863856	0.954	0.667	0	OPC1	LRRTM4
TNS3	TNS3	0.00000E+00	1.14067341914667	0.475	0.077	0	OPC1	TNS3
FAM110B	FAM110B	0.00000E+00	1.139244093294	0.486	0.118	0	OPC1	FAM110B
TNK2	TNK2	0.00000E+00	1.13631415766402	0.481	0.114	0	OPC1	TNK2
GPC6	GPC6	0.00000E+00	1.12992221355449	0.574	0.158	0	OPC1	GPC6
ATRNL1	ATRNL1	0.00000E+00	1.12564263850507	0.835	0.452	0	OPC1	ATRNL1
KAZN	KAZN	0.00000E+00	1.12037528679214	0.929	0.497	0	OPC1	KAZN
DCC	DCC	0.00000E+00	1.10874584821515	0.829	0.41	0	OPC1	DCC
MYT1	MYT1	0.00000E+00	1.10194929244854	0.341	0.021	0	OPC1	MYT1
COL9A1	COL9A1	0.00000E+00	1.0984280180719	0.33	0.018	0	OPC1	COL9A1
COL4A3	COL4A3	0.00000E+00	1.09807079583337	0.302	0.019	0	OPC1	COL4A3
NOVA1	NOVA1	0.00000E+00	1.09305390801845	0.766	0.397	0	OPC1	NOVA1
PTPRG	PTPRG	0.00000E+00	1.09137044011874	0.789	0.38	0	OPC1	PTPRG
EGFR	EGFR	0.00000E+00	1.0861609921803	0.454	0.089	0	OPC1	EGFR
CSMD2	CSMD2	0.00000E+00	1.06412025444264	0.649	0.241	0	OPC1	CSMD2
MDGA2	MDGA2	0.00000E+00	1.06170595655876	0.874	0.504	0	OPC1	MDGA2
CACNG4	CACNG4	0.00000E+00	1.04363747000835	0.313	0.026	0	OPC1	CACNG4
ATP13A4	ATP13A4	0.00000E+00	1.04241932803781	0.502	0.117	0	OPC1	ATP13A4
SORCS1	SORCS1	0.00000E+00	1.03692533668345	0.437	0.075	0	OPC1	SORCS1
SULF2	SULF2	0.00000E+00	1.03282103394898	0.343	0.041	0	OPC1	SULF2
ZEB1	ZEB1	0.00000E+00	1.02149742588864	0.578	0.213	0	OPC1	ZEB1
HECW1	HECW1	0.00000E+00	1.01808190093297	0.452	0.11	0	OPC1	HECW1
CNTNAP5	CNTNAP5	0.00000E+00	1.01715588972346	0.781	0.385	0	OPC1	CNTNAP5
DISC1	DISC1	0.00000E+00	1.00793766917171	0.592	0.186	0	OPC1	DISC1
ARHGAP31	ARHGAP31	0.00000E+00	1.00450782017201	0.483	0.114	0	OPC1	ARHGAP31
SCN1A	SCN1A	0.00000E+00	1.00096425100344	0.545	0.193	0	OPC1	SCN1A
RHBDL3	RHBDL3	0.00000E+00	0.995369556177218	0.388	0.091	0	OPC1	RHBDL3
