id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
LDLRAD3	LDLRAD3	3.07251E-06	-0.366673783104077	0.163	0.189	0.0527857734741436	Pyr2	LDLRAD3
CTNNA1	CTNNA1	3.45819E-06	-0.343575870472904	0.218	0.238	0.059411668139293	Pyr2	CTNNA1
GNA14	GNA14	5.99242E-06	-0.336151930336236	0.118	0.146	0.102949761578941	Pyr2	GNA14
ANKS1A	ANKS1A	6.55262E-06	-0.270552996744216	0.346	0.255	0.11257401624706	Pyr2	ANKS1A
MLLT4	MLLT4	7.87229E-06	-0.383779302686294	0.392	0.371	0.135245967826793	Pyr2	MLLT4
PTP4A2	PTP4A2	7.97998E-06	-0.379527004855278	0.219	0.236	0.137096127312983	Pyr2	PTP4A2
EPB41L4A	EPB41L4A	8.54435E-06	-0.252386816609396	0.082	0.109	0.146791955796728	Pyr2	EPB41L4A
NCOA2	NCOA2	8.97548E-06	-0.366613070346679	0.458	0.415	0.154198693383893	Pyr2	NCOA2
FBXO7	FBXO7	1.11798E-05	-0.348090938842217	0.161	0.185	0.192069756792179	Pyr2	FBXO7
HNRNPC	HNRNPC	1.12401E-05	-0.380140218575239	0.308	0.306	0.193104514334747	Pyr2	HNRNPC
PRKACB	PRKACB	1.19101E-05	-0.30957686753486	0.569	0.507	0.20461625583377	Pyr2	PRKACB
XRCC4	XRCC4	1.38814E-05	-0.297852214214809	0.109	0.136	0.238482910360916	Pyr2	XRCC4
FGF1	FGF1	1.47312E-05	-0.328264347264959	0.098	0.123	0.253082836646235	Pyr2	FGF1
CUEDC1	CUEDC1	1.56853E-05	-0.348983596929839	0.136	0.16	0.269473911540622	Pyr2	CUEDC1
PDGFC	PDGFC	1.65156E-05	-0.307188000946401	0.102	0.128	0.28373801835332	Pyr2	PDGFC
FAM196B	FAM196B	1.72792E-05	-0.29063745509868	0.099	0.125	0.296856054434424	Pyr2	FAM196B
SLC4A4	SLC4A4	1.73649E-05	-0.269314477855816	0.201	0.15	0.298329583648693	Pyr2	SLC4A4
LDB3	LDB3	1.83935E-05	-0.379369100518299	0.204	0.226	0.316000217038867	Pyr2	LDB3
