id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
STAG1	STAG1	4.46171E-06	0.588686943042082	0.354	0.406	0.0766522549866435	Micro3	STAG1
THADA	THADA	4.68109E-06	0.33097384593989	0.159	0.245	0.0804211850694089	Micro3	THADA
RB1	RB1	4.68832E-06	0.681284349913379	0.231	0.224	0.0805453935975159	Micro3	RB1
FOS	FOS	5.39957E-06	0.516292174301865	0.19	0.166	0.0927645563221961	Micro3	FOS
RAB10	RAB10	5.40075E-06	0.366916993525164	0.196	0.302	0.092784892861922	Micro3	RAB10
TET3	TET3	5.75229E-06	0.361426308066048	0.143	0.22	0.0988243760878857	Micro3	TET3
PDGFC	PDGFC	5.77301E-06	0.662909476664609	0.152	0.128	0.0991803595978256	Micro3	PDGFC
DISP1	DISP1	7.70483E-06	0.635281177278613	0.124	0.099	0.132369049564074	Micro3	DISP1
CDK6	CDK6	1.10406E-05	0.656393386250136	0.292	0.309	0.189676737319274	Micro3	CDK6
BRD4	BRD4	1.28558E-05	0.352169616806439	0.118	0.18	0.220863143162016	Micro3	BRD4
RHEB	RHEB	1.35584E-05	0.363129135130336	0.141	0.215	0.232933819357661	Micro3	RHEB
PRRC2B	PRRC2B	1.72794E-05	0.734141088620011	0.221	0.215	0.296860522601818	Micro3	PRRC2B
GNG7	GNG7	1.97555E-05	0.558395083292508	0.302	0.323	0.339399886322345	Micro3	GNG7
MCF2L2	MCF2L2	2.08342E-05	0.356722477133923	0.228	0.347	0.357930915236494	Micro3	MCF2L2
DENND4A	DENND4A	2.17823E-05	0.334123634853168	0.251	0.385	0.374220658817591	Micro3	DENND4A
SRSF4	SRSF4	2.30545E-05	0.342743678419708	0.125	0.189	0.396075523734018	Micro3	SRSF4
NFX1	NFX1	2.63626E-05	0.383091383052059	0.118	0.179	0.452909701661026	Micro3	NFX1
PAN3	PAN3	2.69526E-05	0.331622119719913	0.252	0.384	0.463045589029323	Micro3	PAN3
FBXW11	FBXW11	3.09064E-05	0.363053909745589	0.166	0.249	0.530971423932765	Micro3	FBXW11
ADRBK2	ADRBK2	4.02239E-05	0.341906525360435	0.184	0.276	0.691046650072724	Micro3	ADRBK2
ACAP2	ACAP2	4.19000E-05	0.356112595949688	0.219	0.332	0.719842598352178	Micro3	ACAP2
TRAPPC9	TRAPPC9	5.41635E-05	0.371475913973123	0.213	0.322	0.930529694614474	Micro3	TRAPPC9
TANC1	TANC1	5.93497E-05	0.367758147211227	0.177	0.263	1	Micro3	TANC1
RNF149	RNF149	6.56166E-05	0.727111247961597	0.194	0.183	1	Micro3	RNF149
CAMK2D	CAMK2D	6.58946E-05	0.368979203500319	0.235	0.352	1	Micro3	CAMK2D
GALNT1	GALNT1	6.66577E-05	0.333530676744286	0.104	0.156	1	Micro3	GALNT1
CREBBP	CREBBP	7.71374E-05	0.399739468122112	0.18	0.268	1	Micro3	CREBBP
RAP1GAP2	RAP1GAP2	9.30063E-05	0.681893473157623	0.158	0.141	1	Micro3	RAP1GAP2
SEPT2	SEPT2	1.08108E-04	0.410113674100511	0.169	0.25	1	Micro3	SEPT2
CTNNB1	CTNNB1	1.10589E-04	0.376058029751737	0.131	0.193	1	Micro3	CTNNB1
PER1	PER1	1.14158E-04	0.52765168160436	0.182	0.167	1	Micro3	PER1
FUS	FUS	1.15076E-04	0.392971948252461	0.17	0.25	1	Micro3	FUS
GAK	GAK	1.26348E-04	0.653005775246573	0.144	0.126	1	Micro3	GAK
MAN1A1	MAN1A1	1.32122E-04	0.342204177060613	0.148	0.215	1	Micro3	MAN1A1
ABHD12	ABHD12	1.73633E-04	0.353515514044604	0.112	0.165	1	Micro3	ABHD12
P4HA1	P4HA1	1.78335E-04	0.406629649088777	0.087	0.13	1	Micro3	P4HA1
NFIC	NFIC	1.88243E-04	0.646751333696365	0.157	0.141	1	Micro3	NFIC
C15orf41	C15orf41	2.05944E-04	0.332392417503877	0.138	0.2	1	Micro3	C15orf41
CROCC	CROCC	2.11128E-04	0.622156555578946	0.131	0.113	1	Micro3	CROCC
UBASH3B	UBASH3B	2.11901E-04	0.610162142400386	0.116	0.096	1	Micro3	UBASH3B
XPR1	XPR1	2.18762E-04	0.375264654847456	0.131	0.192	1	Micro3	XPR1
PIP5K1B	PIP5K1B	2.26649E-04	0.667051385491391	0.139	0.122	1	Micro3	PIP5K1B
VOPP1	VOPP1	2.32143E-04	0.64454403764562	0.116	0.097	1	Micro3	VOPP1
WDR37	WDR37	2.35567E-04	0.409976752231958	0.122	0.179	1	Micro3	WDR37
TPM3	TPM3	2.66449E-04	0.629891483551318	0.12	0.102	1	Micro3	TPM3
MB21D2	MB21D2	2.74189E-04	0.721592214008067	0.123	0.104	1	Micro3	MB21D2
MPRIP	MPRIP	3.02234E-04	0.397257172230446	0.176	0.257	1	Micro3	MPRIP
EPS8	EPS8	3.21538E-04	0.569694933006373	0.172	0.158	1	Micro3	EPS8
PTPRE	PTPRE	3.98661E-04	0.690097692752758	0.222	0.225	1	Micro3	PTPRE
WDR70	WDR70	4.13048E-04	0.365363055933435	0.235	0.348	1	Micro3	WDR70
GRAMD1B	GRAMD1B	4.24007E-04	0.691432122574147	0.235	0.242	1	Micro3	GRAMD1B
CRK	CRK	4.57248E-04	0.604737639216586	0.115	0.097	1	Micro3	CRK
MTDH	MTDH	4.59009E-04	0.387415060817588	0.166	0.241	1	Micro3	MTDH
PACS1	PACS1	4.66350E-04	0.723085095824091	0.215	0.216	1	Micro3	PACS1
PACSIN2	PACSIN2	4.80227E-04	0.664889750306762	0.15	0.136	1	Micro3	PACSIN2
UBL3	UBL3	5.95388E-04	0.337535998958192	0.17	0.243	1	Micro3	UBL3
ITSN1	ITSN1	6.00579E-04	0.459654089249061	0.179	0.257	1	Micro3	ITSN1
CAP1	CAP1	6.08533E-04	0.54551043650645	0.104	0.086	1	Micro3	CAP1
SEC14L1	SEC14L1	6.23638E-04	0.415143794318919	0.145	0.207	1	Micro3	SEC14L1
SNX9	SNX9	6.41060E-04	0.442681633970295	0.185	0.266	1	Micro3	SNX9
SESN3	SESN3	6.56716E-04	0.343886972376653	0.091	0.132	1	Micro3	SESN3
ZFAND3	ZFAND3	6.91038E-04	0.429196758304266	0.444	0.581	1	Micro3	ZFAND3
ATM	ATM	7.73451E-04	0.638079770875138	0.262	0.282	1	Micro3	ATM
E2F3	E2F3	9.11001E-04	0.339529566947744	0.079	0.115	1	Micro3	E2F3
