id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
GALNT7	GALNT7	1.39883E-03	-0.333668528531813	0.204	0.159	1	Pyr1	GALNT7
RGS5	RGS5	1.51596E-03	-0.326885462177278	0.093	0.102	1	Pyr1	RGS5
SNAP23	SNAP23	1.51806E-03	-0.258024445156436	0.137	0.109	1	Pyr1	SNAP23
SH3GLB1	SH3GLB1	1.70386E-03	-0.272264389585385	0.161	0.127	1	Pyr1	SH3GLB1
EIF4E	EIF4E	1.76911E-03	-0.305703195277525	0.162	0.129	1	Pyr1	EIF4E
ZNF654	ZNF654	1.77505E-03	-0.292123943820174	0.197	0.156	1	Pyr1	ZNF654
CAST	CAST	1.78699E-03	-0.282736284120474	0.183	0.146	1	Pyr1	CAST
OSBPL11	OSBPL11	1.81278E-03	-0.338050655577565	0.094	0.103	1	Pyr1	OSBPL11
SNX6	SNX6	1.82597E-03	-0.288708850677559	0.178	0.141	1	Pyr1	SNX6
RCOR3	RCOR3	1.87053E-03	-0.356886967238044	0.308	0.233	1	Pyr1	RCOR3
PHACTR3	PHACTR3	1.87372E-03	-0.334429803225797	0.658	0.444	1	Pyr1	PHACTR3
HIBADH	HIBADH	2.37696E-03	-0.330890828855052	0.202	0.159	1	Pyr1	HIBADH
LRRTM4	LRRTM4	3.09568E-03	-0.332694011154038	0.88	0.684	1	Pyr1	LRRTM4
RUFY2	RUFY2	3.11525E-03	-0.358828504278489	0.313	0.239	1	Pyr1	RUFY2
CTDSPL2	CTDSPL2	3.33647E-03	-0.30732675906856	0.199	0.157	1	Pyr1	CTDSPL2
PPP1R9A	PPP1R9A	3.57728E-03	-0.278657286225	0.7	0.474	1	Pyr1	PPP1R9A
MSL2	MSL2	3.61978E-03	-0.258174321461796	0.136	0.109	1	Pyr1	MSL2
KLHL20	KLHL20	3.96593E-03	-0.282977272079787	0.103	0.11	1	Pyr1	KLHL20
CDK13	CDK13	4.34440E-03	-0.367392250798078	0.51	0.36	1	Pyr1	CDK13
XRCC5	XRCC5	4.46335E-03	-0.366061267647823	0.284	0.219	1	Pyr1	XRCC5
RBBP4	RBBP4	4.54197E-03	-0.264625057277226	0.151	0.122	1	Pyr1	RBBP4
UBA3	UBA3	4.55818E-03	-0.301749037599648	0.097	0.104	1	Pyr1	UBA3
MGAT4A	MGAT4A	4.69046E-03	-0.341800151492384	0.165	0.132	1	Pyr1	MGAT4A
RAB11FIP2	RAB11FIP2	4.71300E-03	-0.287826018803442	0.185	0.148	1	Pyr1	RAB11FIP2
GALNT10	GALNT10	5.05969E-03	-0.314958927258875	0.152	0.121	1	Pyr1	GALNT10
RHBDD1	RHBDD1	5.70495E-03	-0.324260778535973	0.192	0.153	1	Pyr1	RHBDD1
BTBD8	BTBD8	6.65493E-03	-0.337349279413449	0.158	0.158	1	Pyr1	BTBD8
KLF9	KLF9	7.13264E-03	-0.372512880693571	0.16	0.158	1	Pyr1	KLF9
WDR41	WDR41	7.91955E-03	-0.326983172397309	0.129	0.132	1	Pyr1	WDR41
NECAB1	NECAB1	8.50983E-03	-0.369851093012195	0.485	0.351	1	Pyr1	NECAB1
AGPS	AGPS	8.86243E-03	-0.279850898531623	0.177	0.143	1	Pyr1	AGPS
GCFC2	GCFC2	9.81982E-03	-0.274801606555976	0.156	0.127	1	Pyr1	GCFC2
TPM3	TPM3	9.90285E-03	-0.281961618769592	0.124	0.101	1	Pyr1	TPM3
