id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
FBXO32	FBXO32	3.44990E-06	-0.342246411112895	0.116	0.147	0.0592691994005671	In2	FBXO32
PPP1R9A	PPP1R9A	3.74509E-06	-0.338982151423015	0.552	0.479	0.0643407112634085	In2	PPP1R9A
CDK5RAP2	CDK5RAP2	4.97213E-06	-0.413121248557713	0.202	0.222	0.0854211591787912	In2	CDK5RAP2
PTP4A2	PTP4A2	6.55776E-06	-0.415345340261981	0.219	0.236	0.112662269840773	In2	PTP4A2
PPP1R12A	PPP1R12A	6.65549E-06	-0.37582011176452	0.514	0.444	0.114341347380447	In2	PPP1R12A
ATP2B1	ATP2B1	7.81825E-06	-0.397084065393351	0.495	0.428	0.13431750821783	In2	ATP2B1
KMT2C	KMT2C	8.51900E-06	-0.322677948454962	0.589	0.507	0.146356481739268	In2	KMT2C
CPEB4	CPEB4	9.79350E-06	-0.301582695709457	0.571	0.498	0.168252328402495	In2	CPEB4
GPM6A	GPM6A	9.81266E-06	-0.267076660319416	0.75	0.547	0.168581544482345	In2	GPM6A
CTNNA1	CTNNA1	1.09862E-05	-0.386743736074415	0.222	0.238	0.188742175394902	In2	CTNNA1
BCAS3	BCAS3	1.11810E-05	-0.28054472036829	0.716	0.608	0.192089107035073	In2	BCAS3
TUBA1A	TUBA1A	1.51995E-05	-0.403774677084354	0.387	0.366	0.261127046714295	In2	TUBA1A
ENDOD1	ENDOD1	1.73741E-05	-0.312637852316542	0.092	0.118	0.298487108224024	In2	ENDOD1
UVRAG	UVRAG	2.48270E-05	-0.398849683876532	0.452	0.407	0.426528608969608	In2	UVRAG
AGO2	AGO2	2.74888E-05	-0.365590989562431	0.193	0.213	0.472258265779652	In2	AGO2
UST	UST	2.80335E-05	-0.421648674958812	0.107	0.133	0.481615883930307	In2	UST
RHOBTB1	RHOBTB1	3.62560E-05	-0.33101775308441	0.092	0.116	0.622878747008037	In2	RHOBTB1
ADAMTS17	ADAMTS17	3.76545E-05	-0.338437254391536	0.088	0.114	0.646904918485783	In2	ADAMTS17
USP40	USP40	3.77926E-05	-0.379419027313427	0.178	0.197	0.649276886155219	In2	USP40
WDR20	WDR20	3.79028E-05	-0.424076598018446	0.258	0.262	0.651169629545484	In2	WDR20
AHCYL2	AHCYL2	3.81105E-05	-0.421056538898167	0.301	0.298	0.654737730547604	In2	AHCYL2
ZNF146	ZNF146	4.91445E-05	-0.404290913487796	0.182	0.199	0.844302495053967	In2	ZNF146
ADD3	ADD3	6.12568E-05	-0.364770666831546	0.505	0.44	1	In2	ADD3
CST3	CST3	6.14892E-05	-0.408346673430002	0.203	0.22	1	In2	CST3
EIF3E	EIF3E	6.64682E-05	-0.317156933518839	0.121	0.146	1	In2	EIF3E
PLEKHG1	PLEKHG1	6.78211E-05	-0.352385194785777	0.105	0.129	1	In2	PLEKHG1
ATP1B3	ATP1B3	7.41413E-05	-0.284624224437088	0.333	0.248	1	In2	ATP1B3
WSB1	WSB1	7.63666E-05	-0.307835550125499	0.676	0.57	1	In2	WSB1
PPP4R2	PPP4R2	8.60614E-05	-0.425404185983118	0.223	0.232	1	In2	PPP4R2
SNX1	SNX1	9.00482E-05	-0.408842330518444	0.273	0.273	1	In2	SNX1
FAM13A	FAM13A	9.10908E-05	-0.326895336860648	0.123	0.148	1	In2	FAM13A
ZNF644	ZNF644	9.24434E-05	-0.381585372649257	0.404	0.371	1	In2	ZNF644
MAST3	MAST3	9.38600E-05	-0.301200964666159	0.112	0.136	1	In2	MAST3
RNF213	RNF213	1.11436E-04	-0.299892005373397	0.096	0.12	1	In2	RNF213
PTPRF	PTPRF	1.11834E-04	-0.283356701872684	0.095	0.12	1	In2	PTPRF
ZMIZ1	ZMIZ1	1.18953E-04	-0.306167590874058	0.121	0.143	1	In2	ZMIZ1
NDFIP2	NDFIP2	1.51795E-04	-0.32002881680647	0.178	0.196	1	In2	NDFIP2
CUEDC1	CUEDC1	1.52031E-04	-0.370557436248908	0.14	0.16	1	In2	CUEDC1
CLU	CLU	1.57425E-04	-0.256605227008035	0.289	0.218	1	In2	CLU
